,title,model_family,downstream_application,omics_modality
782,ncProFormer: A CNN-enhanced Transformer for ncRNA Coding-Potential Prediction.,hybrid_symbolic_statistical,unspecified,scRNA-seq
783,Quantifying Cross-Attention Interaction in Transformers for Interpreting TCR-pMHC Binding.,hybrid_symbolic_statistical,unspecified,unspecified
784,TCR-EML: Explainable Model Layers for TCR-pMHC Prediction.,hybrid_symbolic_statistical,multimodal_integration,Protein/CITE-seq
785,Integrating histology and spatial transcriptomics via multimodal transformers and contrastive representation learning for accurate gene expression prediction.,multimodal_fusion,"biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
786,End-to-End Pretreatment Prediction of Radiation Pneumonitis in Patients With Non-Small Cell Lung Cancer Using Computed Tomography: A Vision Transformer Approach.,foundation_scale_pretraining,unspecified,unspecified
787,Evolutionary-guided advanced deep-learning architecture powers mammalian GPCRome agonist predictions.,multimodal_fusion,multimodal_integration,Protein/CITE-seq
788,RCLG-PPIS: Structure-Aware Protein-Protein Interaction Site Prediction with Cascaded Local and Global Information.,graph_neural_network,"perturbation_prediction, multimodal_integration",Protein/CITE-seq
789,FATE-MAP predicts teratogenicity and human gastrulation failure modes by integrating deep learning and mechanistic modeling.,perturbation_prediction,"perturbation_prediction, batch_correction, trajectory_inference",unspecified
790,Effective use of PROs for survival prediction: Transformer-based modelling in NSCLC patients.,hybrid_symbolic_statistical,unspecified,unspecified
791,Screening toxic transformation products of emerging pollutants in advanced oxidation processes with 3D deep learning and in vitro assays.,multimodal_fusion,unspecified,Spatial
792,MTEGDRP: Interpretable Molecular Self-Attention Transformer and Equivariant Graph Neural Network Based on Multi-Omics Fusion for Drug Response Prediction in Cancer Cell Lines.,transformer_masked_lm,"perturbation_prediction, batch_correction, spatial_reconstruction, multimodal_integration",Spatial
793,Skill Information Representation Imitation Learning for Long-Horizon Dexterous Robot Micromanipulation of Deformable Cell.,hybrid_symbolic_statistical,unspecified,unspecified
794,DT-m6A: A DenseNet-Transformer Hybrid Framework for Accurate Prediction of m6A Modification Sites across Diverse Cell Lines and Tissues.,hybrid_symbolic_statistical,batch_correction,Methylation/Epigenomics
795,Hist2Cell: Deciphering fine-grained cellular architectures from histology images.,spatial_omics,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Spatial"
796,Deep learning models to map osteocyte networks from confocal microscopy can successfully distinguish between young and aged bone.,foundation_scale_pretraining,"cell_type_annotation, generation",unspecified
797,DEW-Net: A W-Shaped Dual-Encoder Network with Attention Fusion Mechanisms for Pathological H&E Image Segmentation.,multimodal_fusion,unspecified,unspecified
798,Aegis: a transformer-based deep learning framework for the accurate identification of anticancer peptides.,foundation_scale_pretraining,unspecified,unspecified
799,TransSE: A Transfer Learning-Based Predictive Model for Distinguishing Super Enhancers and Typical Enhancers.,transformer_masked_lm,unspecified,unspecified
800,Histo-Miner: Deep learning based tissue features extraction pipeline from H&E whole slide images of cutaneous squamous cell carcinoma.,hybrid_symbolic_statistical,"cell_type_annotation, generation",unspecified
801,Transformer-based feature extraction approach for hematopoietic cancer subtype classification.,variational_autoencoder,"cell_type_annotation, biomarker_discovery",scRNA-seq
802,A scalable computational framework for predicting gene expression from candidate -regulatory elements.,hybrid_symbolic_statistical,cell_type_annotation,"scATAC-seq, Methylation/Epigenomics"
803,PolyA-GLM: A comprehensive framework for  polyadenylation site prediction using genome language models.,transformer_masked_lm,"cell_type_annotation, perturbation_prediction, spatial_reconstruction",Spatial
804,CADS: A Causal Inference Framework for Identifying Essential Genes to Enhance Drug Synergy Prediction.,transformer_masked_lm,"perturbation_prediction, multimodal_integration",unspecified
805,EpiXFormer: a cross-attention neural network for predicting cell type-specific transcription factor binding sites.,multimodal_fusion,"cell_type_annotation, multimodal_integration","Protein/CITE-seq, Methylation/Epigenomics"
806,Early feature extraction drives model performance in high-resolution chromatin accessibility prediction.,foundation_scale_pretraining,"cell_type_annotation, multimodal_integration",scATAC-seq
807,Exploiting Scale-Variant Attention for Segmenting Small Medical Objects.,other_or_unclassified,unspecified,unspecified
808,Integrative Transcriptomic and Bioinformatics Approaches Combined With Transformer Models Identify Key Gene Networks in Atherosclerosis.,hybrid_symbolic_statistical,biomarker_discovery,scRNA-seq
809,LIMPACAT: Multi-omics attention transformer for immune prediction in liver cancer using whole-slide imaging.,transformer_masked_lm,"cell_type_annotation, spatial_reconstruction, multimodal_integration",scRNA-seq
810,An Introduction to Pathology Foundation Models.,foundation_scale_pretraining,"cell_type_annotation, biomarker_discovery",unspecified
811,"Spectral Cruncher: A Visualization Tool Integrating Manual Curation, Ion-Intensity Prediction, and De Novo Tag Generation.",foundation_scale_pretraining,"cell_type_annotation, generation",Protein/CITE-seq
812,Comprehensive perturbation of transcription factors in human cardiomyocytes reveals the regulatory architecture of congenital heart disease.,perturbation_prediction,perturbation_prediction,scRNA-seq
813,DynamicGT: A dynamic-aware geometric transformer model to predict protein-binding interfaces in flexible and disordered regions.,graph_neural_network,"generation, multimodal_integration",Protein/CITE-seq
814,EvoZymePro-Cat: A Protein-Ligand-Aware Deep Learning Framework for Predicting Mutation Effects in Enzyme Function.,multimodal_fusion,multimodal_integration,Protein/CITE-seq
815,Ablation versus sublobar resection for stage IA non-small cell lung cancer: a multicenter retrospective cohort study using a deep learning model in the ablation group.,multimodal_fusion,multimodal_integration,unspecified
816,MIMYR: Generative modeling of missing tissue in spatial transcriptomics.,multimodal_fusion,"cell_type_annotation, generation, spatial_reconstruction","scRNA-seq, Spatial"
817,A Transformer-Based Deep Learning Approach to Predicting Air Organic Pollutant-Human Protein Interactions.,foundation_scale_pretraining,multimodal_integration,"scRNA-seq, Protein/CITE-seq"
818,A Multi-Modal Contrastive Learning Framework for Cyclic Peptide Permeability Prediction.,multimodal_fusion,perturbation_prediction,unspecified
819,BiSAUM: Bi-Directional Sparse Attention Transformer for Cancer Cell Prediction in Multi-Domain Sustainable Healthcare Systems.,transformer_masked_lm,cell_type_annotation,unspecified
820,ProtoMol: enhancing molecular property prediction via prototype-guided multimodal learning.,graph_neural_network,"perturbation_prediction, batch_correction, multimodal_integration",unspecified
821,"A modern AI framework integrating deep imputation, synthetic data balancing, and explainable modeling for survival prediction in horse colic.",variational_autoencoder,"cell_type_annotation, generation, multimodal_integration",Protein/CITE-seq
822,Epigenetics is all you need: A transformer to decode chromatin structural compartments from the epigenome.,foundation_scale_pretraining,cell_type_annotation,"scRNA-seq, scATAC-seq, Methylation/Epigenomics"
823,SiaScoreNet: a siamese neural network-based model integrating prediction scores for HLA-peptide interaction prediction.,foundation_scale_pretraining,multimodal_integration,Protein/CITE-seq
824,"Thymus Composition, Disease Control, and Toxicity in Locally Advanced Lung Cancer.",hybrid_symbolic_statistical,unspecified,unspecified
825,Delayformer: Spatiotemporal Transformation for Predicting High-Dimensional Dynamics.,foundation_scale_pretraining,generation,unspecified
826,Disrupting explicit encoding paradigms: property-interactive transformers decode T-cell receptor specificity beyond dataset biases.,spatial_omics,"generation, spatial_reconstruction",Spatial
827,BTOB-T: Bilateral orchesTrated deep learning framework based on proteogenOmics for drug-repositioning of Breast cancer Treatment.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, multimodal_integration",unspecified
828,ResUbiNet: A Novel Deep Learning Architecture for Ubiquitination Site Prediction.,multimodal_fusion,"batch_correction, multimodal_integration",Protein/CITE-seq
829,AI-driven prediction of progression to oral squamous cell carcinoma using a multiresolution pathology model.,hybrid_symbolic_statistical,unspecified,unspecified
830,A transformer-based deep learning model for preoperative prediction of lymphovascular invasion in laryngeal squamous cell carcinoma: a multicenter study.,multimodal_fusion,cell_type_annotation,unspecified
831,"ClinSegAI: A post-processing framework for superior histopathology segmentation accuracy, radiomics feature preservation, and quantitative analysis.",transformer_masked_lm,"batch_correction, spatial_reconstruction","scRNA-seq, Spatial"
832,Few-Shot Generalization to Novel Compounds in Single-Cell Drug Response via Graph-Infused Meta-Pretraining.,perturbation_prediction,"perturbation_prediction, biomarker_discovery, generation",unspecified
833,Comparative Analysis of Deep Learning Models for Predicting Causative Regulatory Variants.,hybrid_symbolic_statistical,unspecified,unspecified
834,From Sequence to Response: AI-Guided Prediction of Nucleic Acid Nanoparticles Immune Recognitions.,foundation_scale_pretraining,perturbation_prediction,unspecified
835,ROS-induced voltage-gated ion channel expression and electrophysiological remodeling in malignant human cells.,perturbation_prediction,"perturbation_prediction, generation",scRNA-seq
836,"Long-term outcomes from pembrolizumab monotherapy in patients with advanced NSCLC, PD-L1 expression ≥ 50 %, and poor performance status: Transformer-based AI to characterize prognostic complexity.",hybrid_symbolic_statistical,unspecified,unspecified
837,Space group informed transformer for crystalline materials generation.,foundation_scale_pretraining,generation,unspecified
838,Mapping Context-Aware Phosphosite Regulation of Protein-Protein Interactions Using Deep Learning and Pan-Cancer Proteomics.,foundation_scale_pretraining,"biomarker_discovery, generation, multimodal_integration",Protein/CITE-seq
839,SAPP: Structure Aware PTM Prediction.,foundation_scale_pretraining,unspecified,scATAC-seq
840,AutoTFCNNY: A multi-instance neural network for enhanced early cancer detection using TCR data.,hybrid_symbolic_statistical,unspecified,unspecified
841,AI-driven discovery of novel extracellular matrix biomarkers in pelvic organ prolapse.,hybrid_symbolic_statistical,"cell_type_annotation, biomarker_discovery, multimodal_integration",Protein/CITE-seq
842,B-EPIC: A Transformer-Based Language Model for Decoding B Cell Immunodominance Patterns.,hybrid_symbolic_statistical,unspecified,unspecified
843,Rational Multi-Modal Transformers for TCR-pMHC Prediction.,multimodal_fusion,unspecified,unspecified
844,Urban Signalized Intersection Traffic State Prediction: A Spatial-Temporal Graph Model Integrating the Cell Transmission Model and Transformer,spatial_omics,spatial_reconstruction,unspecified
845,Physics-Informed Framework for Dynamic Traffic State Prediction: A Cell Transformer Approach at Signalized Intersections,other_or_unclassified,unspecified,unspecified
846,State of Charge Prediction of Lead Acid Battery using Transformer Neural Network for Solar Smart Dome 4.0,other_or_unclassified,unspecified,unspecified
847,ReactFormer: A Reaction-Aware Graph Transformer for Barrier Height Prediction without Explicit Transition State Geometries,other_or_unclassified,unspecified,unspecified
848,CELL-E: A Text-To-Image Transformer for Protein Localization Prediction,other_or_unclassified,"cell_type_annotation, generation, multimodal_integration",Protein/CITE-seq
849,Kalman Filter Optimize Transformer Method for State of Health Prediction on Lithium-Ion Battery,other_or_unclassified,unspecified,unspecified
850,Social media emotional state classification prediction based on Arctic Puffin Algorithm (APO) optimization of Transformer mode,hybrid_symbolic_statistical,cell_type_annotation,unspecified
851,Transformer-based Learning Models of Dynamical Systems for Robotic State Prediction,hybrid_symbolic_statistical,unspecified,unspecified
852,County augmented transformer for COVID-19 state hospitalizations prediction,hybrid_symbolic_statistical,"generation, spatial_reconstruction",unspecified
853,Mat-Transformer-Based State Prediction Method for Information Equipment,other_or_unclassified,unspecified,unspecified
854,Equivalent Circuit-Informed Transformer: A Physics-Informed Transformer for Complete Charging Curve Prediction and State Estimation of Lithium-Ion Batteries,foundation_scale_pretraining,cell_type_annotation,unspecified
855,A CEEMDAN–Transformer–BiLSTM Fusion Network for Accurate State of Health Prediction of Lithium-ion Batteries,multimodal_fusion,batch_correction,unspecified
856,Transformer State Prediction Based on Deep Learning Network,other_or_unclassified,unspecified,unspecified
857,State Evaluation and Tripping Probability Prediction of Large Power Transformer Based on Health Index,foundation_scale_pretraining,unspecified,unspecified
858,B-Cell Linear Epitope Prediction Using Transformer Encoder,hybrid_symbolic_statistical,unspecified,unspecified
859,An Improved Prediction Method of Transformer Oil Temperature,other_or_unclassified,unspecified,unspecified
860,I-Cltp: Integrated Contrastive Learning with Transformer Framework for Traffic State Prediction and Network-Wide Analysis,other_or_unclassified,unspecified,unspecified
861,State of Health Prediction for Lithium-Ion Batteries Using Transformer–LSTM Fusion Model,multimodal_fusion,unspecified,unspecified
862,CELL CYCLE STATE PREDICTION USING GRAPH NEURAL NETWORKS,graph_neural_network,unspecified,unspecified
863,Prediction Method for Transformer State Based on GRU Network,other_or_unclassified,unspecified,unspecified
864,Channel State Information Prediction Using Transformer Models for High-Mobility Wireless Networks,hybrid_symbolic_statistical,unspecified,unspecified
865,Degradation Prediction of the Low-Pt Loading Proton Exchange Membrane Fuel Cell Based on Spatio-Temporal Transformer Network,other_or_unclassified,unspecified,unspecified
866,Transformer-BEATS: A transformer model for time series prediction of dairy milk production,spatial_omics,spatial_reconstruction,Spatial
867,Multiscale Class-Attention Transformer for Bird Migration State Prediction,transformer_masked_lm,unspecified,unspecified
868,"Review for ""SUPERMAGO: Protein Function Prediction Based on Transformer Embeddings""",other_or_unclassified,multimodal_integration,unspecified
869,A Hybrid LSTM-Transformer Approach for State of Health and Charge Prediction in Industrial IoT-Based Battery Management Systems,foundation_scale_pretraining,unspecified,unspecified
870,Voltage Transformer Error State Prediction Method Considering Multi-Dimensional Attributes,other_or_unclassified,unspecified,unspecified
871,A Transformer-Based Physics-Informed Network for Trajectory Prediction and State Estimation,other_or_unclassified,trajectory_inference,unspecified
872,Health State Prediction of Traction Motor Bearings Based on BiLSTM-Transformer,hybrid_symbolic_statistical,unspecified,unspecified
873,Graph Transformer for drug response prediction,multimodal_fusion,"perturbation_prediction, multimodal_integration",scRNA-seq
874,CST: Character State Transformer for Object-Conditioned Human Motion Prediction,other_or_unclassified,unspecified,unspecified
875,Explainable Transformer-Based Neural Network for the Prediction of Survival Outcomes in Non-Small Cell Lung Cancer (NSCLC),foundation_scale_pretraining,biomarker_discovery,unspecified
876,GT-SOH: A Graph-Transformer Contrastive Learning Framework with Starfish Optimization for Accurate State-of-Health Battery Prediction in EV,other_or_unclassified,unspecified,unspecified
877,State-of-Health Prediction of Lithium-Ion Batteries Using Exponential Smoothing Transformer With Seasonal and Growth Embedding,other_or_unclassified,unspecified,unspecified
878,Attention! Transformer with Sentiment on Cryptocurrencies Price Prediction,other_or_unclassified,unspecified,unspecified
879,Power Transformer Health State Prediction Based on Multi-attention Coupling Learning,other_or_unclassified,unspecified,unspecified
880,Pre-manipulation alignment prediction with parallel deep state-space and transformer models,hybrid_symbolic_statistical,unspecified,unspecified
881,ECIT: A Physics-Informed Transformer for Complete Charging Curve Prediction and State Estimation of Lithium-Ion Batteries,foundation_scale_pretraining,cell_type_annotation,unspecified
882,CNN-Transformer-LSTM-based lithium battery health state prediction,hybrid_symbolic_statistical,unspecified,unspecified
883,Chromatin States Prediction and Comparison across BRCA Cell Lines Using Deep Learning Provide Insights for Cell State Transitions,other_or_unclassified,unspecified,unspecified
884,Operation State Assessment and Prediction of Distribution Transformer Based on Data Driven,other_or_unclassified,unspecified,unspecified
885,Lithium-Ion Battery State-of-Health Prediction Based on FLAT Transformer and Mutual Distillation,other_or_unclassified,unspecified,unspecified
886,A sequence knowledge-guided deep learning method for single-cell multi-omics translation.,multimodal_fusion,"biomarker_discovery, batch_correction, multimodal_integration","scRNA-seq, scATAC-seq, Protein/CITE-seq"
887,Multiomics Research Strategies in Cancer: A Growing and Innovative Field.,spatial_omics,"biomarker_discovery, spatial_reconstruction",Spatial
888,Predicting and interpreting protein and phosphoprotein abundance from pan-cancer and single-cell transcriptomes.,hybrid_symbolic_statistical,"biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
889,DGM: deep graph clustering with mincut for analysis of single-cell transcriptomics.,variational_autoencoder,"cell_type_annotation, biomarker_discovery, generation",scRNA-seq
890,Digital Biomarkers for Precision Early Detection of Lung Cancer: Integrating AI-Driven Multi-Omics Into Clinical Pathways.,multimodal_fusion,"biomarker_discovery, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial, Methylation/Epigenomics"
891,Remodeling of non-coding RNA regulatory networks: Decoding the pathological mechanisms and new therapeutic paradigms of cardiovascular diseases.,multimodal_fusion,"cell_type_annotation, perturbation_prediction, biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
892,Pan-cancer gene set discovery via scRNA-seq for optimal deep learning based downstream tasks.,graph_neural_network,"cell_type_annotation, biomarker_discovery",scRNA-seq
893,Multi-omics strategies for biomarker discovery and application in personalized oncology.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
894,Multi-Omics Meets Premalignancy: Paving the Way for Early Prevention of Cancer.,multimodal_fusion,"biomarker_discovery, batch_correction, spatial_reconstruction, trajectory_inference, multimodal_integration",Spatial
895,A machine learning framework using urinary biomarkers for pancreatic ductal adenocarcinoma prediction with post hoc validation via single-cell transcriptomics.,foundation_scale_pretraining,"cell_type_annotation, biomarker_discovery",scRNA-seq
896,Characterization and classification of chronic kidney disease by spatial MIST and deep learning algorithm.,graph_neural_network,"cell_type_annotation, biomarker_discovery, batch_correction, spatial_reconstruction, multimodal_integration","Protein/CITE-seq, Spatial"
897,Single-cell RNA-sequencing of circulating tumour cells: A practical guide to workflow and translational applications.,multimodal_fusion,batch_correction,scRNA-seq
898,EnsembleRegNet: Interpretable deep learning for transcriptional network inference from single-cell RNA-seq.,foundation_scale_pretraining,biomarker_discovery,scRNA-seq
899,cytoGPNet: Enhancing clinical outcome prediction accuracy using longitudinal cytometry data in small cohort studies.,foundation_scale_pretraining,biomarker_discovery,unspecified
900,Integrative Omics and AI-Driven Systems Biology: Multilayer Networks Decoding  Health and Resilience.,graph_neural_network,"biomarker_discovery, batch_correction, spatial_reconstruction","Protein/CITE-seq, Spatial"
901,Unveiling tissue heterogeneity through genomic interaction-encoded image representation of RNA-sequencing data.,variational_autoencoder,"cell_type_annotation, biomarker_discovery, spatial_reconstruction",scRNA-seq
902,Spatial gene expression at single-cell resolution from histology using deep learning with GHIST.,multimodal_fusion,"biomarker_discovery, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
903,Artificial Intelligence in Ocular Transcriptomics: Applications of Unsupervised and Supervised Learning.,variational_autoencoder,"cell_type_annotation, biomarker_discovery, batch_correction, generation, multimodal_integration",scRNA-seq
904,A hybrid 1DCNN-GRU deep learning framework for classifying caprine granulosa cell fertility potential using single-cell transcriptomics.,hybrid_symbolic_statistical,"cell_type_annotation, biomarker_discovery",scRNA-seq
905,Deep learning-driven multi-omics analysis: enhancing cancer diagnostics and therapeutics.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq, Methylation/Epigenomics"
906,MuST: multiple-modality structure transformation for single-cell spatial transcriptomics.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
907,Deep learning-based feature discovery for decoding phenotypic plasticity in pediatric high-grade gliomas single-cell transcriptomics.,hybrid_symbolic_statistical,"biomarker_discovery, trajectory_inference",scRNA-seq
908,Spatial morphoproteomic features predict disease states from tissue architectures.,graph_neural_network,"biomarker_discovery, spatial_reconstruction, multimodal_integration","Protein/CITE-seq, Spatial"
909,Applications and advances of multi-omics technologies in gastrointestinal tumors.,multimodal_fusion,"biomarker_discovery, batch_correction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Methylation/Epigenomics"
910,Towards interpretable molecular and spatial analysis of the tumor microenvironment from digital histopathology images with HistoTME-v2.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, batch_correction, generation, spatial_reconstruction","scRNA-seq, Protein/CITE-seq, Spatial"
911,"Integrating Artificial Intelligence in Next-Generation Sequencing: Advances, Challenges, and Future Directions.",multimodal_fusion,"perturbation_prediction, biomarker_discovery, batch_correction, generation","scRNA-seq, Methylation/Epigenomics"
912,Automated cell annotation and classification on histopathology for spatial biomarker discovery.,spatial_omics,"cell_type_annotation, biomarker_discovery, spatial_reconstruction, trajectory_inference, multimodal_integration","Protein/CITE-seq, Spatial"
913,DOLPHIN advances single-cell transcriptomics beyond gene level by leveraging exon and junction reads.,transformer_masked_lm,biomarker_discovery,scRNA-seq
914,AI-Driven Biomarker Discovery and Personalized Allergy Treatment: Utilizing Machine Learning and NGS.,multimodal_fusion,"biomarker_discovery, batch_correction, generation",unspecified
915,scaLR: a low-resource deep neural network-based platform for single cell analysis and biomarker discovery.,foundation_scale_pretraining,"cell_type_annotation, biomarker_discovery, batch_correction",scRNA-seq
916,Single-cell multimodal analysis reveals tumor microenvironment predictive of treatment response in non-small cell lung cancer.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, generation, spatial_reconstruction, multimodal_integration",Spatial
917,Bi-level graph learning unveils prognosis-relevant tumor microenvironment patterns in breast multiplexed digital pathology.,spatial_omics,"biomarker_discovery, spatial_reconstruction",Spatial
918,AI-driven multi-omics integration for multi-scale predictive modeling of genotype-environment-phenotype relationships.,multimodal_fusion,"cell_type_annotation, perturbation_prediction, biomarker_discovery, batch_correction, multimodal_integration",unspecified
919,Tumour purity assessment with deep learning in colorectal cancer and impact on molecular analysis.,hybrid_symbolic_statistical,"spatial_reconstruction, multimodal_integration",Methylation/Epigenomics
920,scPanel: a tool for automatic identification of sparse gene panels for generalizable patient classification using scRNA-seq datasets.,perturbation_prediction,"cell_type_annotation, perturbation_prediction, biomarker_discovery, generation",scRNA-seq
921,Spatial Immunophenotyping from Whole-Slide Multiplexed Tissue Imaging Using Convolutional Neural Networks.,spatial_omics,"cell_type_annotation, biomarker_discovery, spatial_reconstruction",Spatial
922,Advances in the Clinical Application of High-throughput Proteomics.,multimodal_fusion,"batch_correction, multimodal_integration",Protein/CITE-seq
923,Occlusion enhanced pan-cancer classification via deep learning.,foundation_scale_pretraining,"cell_type_annotation, biomarker_discovery",scRNA-seq
924,Clustering single-cell RNA sequencing data via iterative smoothing and self-supervised discriminative embedding.,variational_autoencoder,"cell_type_annotation, biomarker_discovery, batch_correction",scRNA-seq
925,Integrated multiomics implicates dysregulation of ECM and cell adhesion pathways as drivers of severe COVID-associated kidney injury.,hybrid_symbolic_statistical,"cell_type_annotation, biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
926,Exploring the advances of single-cell RNA sequencing in thyroid cancer: a narrative review.,hybrid_symbolic_statistical,biomarker_discovery,scRNA-seq
927,Computational single cell oncology: state of the art.,other_or_unclassified,"biomarker_discovery, trajectory_inference",scRNA-seq
928,Drug Intelligence Science (DIS®): Pioneering a high-resolution translational platform to enhance the probability of success for drug discovery and development.,hybrid_symbolic_statistical,"perturbation_prediction, biomarker_discovery",unspecified
929,Self-supervised deep learning for highly efficient spatial immunophenotyping.,spatial_omics,"cell_type_annotation, biomarker_discovery, spatial_reconstruction",Spatial
930,Applications of multi-omics analysis in human diseases.,multimodal_fusion,"perturbation_prediction, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
931,An Inflection Point in Cancer Protein Biomarkers: What was and What's Next.,hybrid_symbolic_statistical,"biomarker_discovery, multimodal_integration",Protein/CITE-seq
932,Deep multimodal graph-based network for survival prediction from highly multiplexed images and patient variables.,multimodal_fusion,"biomarker_discovery, generation, spatial_reconstruction, multimodal_integration",Spatial
933,On Deep Landscape Exploration of COVID-19 Patients Cells and Severity Markers.,hybrid_symbolic_statistical,biomarker_discovery,unspecified
934,High-throughput label-free cell detection and counting from diffraction patterns with deep fully convolutional neural networks.,transformer_masked_lm,"cell_type_annotation, biomarker_discovery",unspecified
935,Next Generation Imaging Techniques to Define Immune Topographies in Solid Tumors.,spatial_omics,"biomarker_discovery, generation, spatial_reconstruction","scATAC-seq, Spatial"
936,Application of Deep Learning for Early Disease Diagnosis and Biomarker Discovery,spatial_omics,"biomarker_discovery, spatial_reconstruction","scRNA-seq, Protein/CITE-seq, Spatial"
937,"Abstract 1434: Scalable, unsupervised deep learning frameworks for rare event detection and single cell phenotyping in enrichment free liquid biopsies.",variational_autoencoder,"cell_type_annotation, biomarker_discovery",unspecified
938,Deep learning and machine learning integration of radiomics and transcriptomics predicts response-adapted radiotherapy outcome and radiosensitivity in resectable locally advanced laryngeal carcinoma,multimodal_fusion,"biomarker_discovery, batch_correction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
939,Digital pathology–based AI spatial biomarker to predict outcomes for immune checkpoint inhibitors in advanced non-small cell lung cancer.,spatial_omics,"cell_type_annotation, biomarker_discovery, spatial_reconstruction",Spatial
940,Large-scale information retrieval and correction of noisy pharmacogenomic datasets through residual thresholded deep matrix factorization,foundation_scale_pretraining,"perturbation_prediction, biomarker_discovery, batch_correction",unspecified
941,Abstract 85: Path2Marker: Cell-level prediction of multiplex protein expression from routine H&E slides.,spatial_omics,"cell_type_annotation, biomarker_discovery, spatial_reconstruction, trajectory_inference, multimodal_integration","Protein/CITE-seq, Spatial"
942,Mapping single-cell developmental potential in health and disease with interpretable deep learning,other_or_unclassified,unspecified,unspecified
943,Abstract LB087: Inferring single-cell spatial gene expression with tissue morphology via explainable deep learning,spatial_omics,"cell_type_annotation, biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
944,Multimodal data fusion for cancer biomarker discovery with deep learning,multimodal_fusion,"biomarker_discovery, multimodal_integration",unspecified
945,Deep learning-based cell-specific gene regulatory networks inferred from single-cell multiome data,multimodal_fusion,"cell_type_annotation, batch_correction, multimodal_integration","scATAC-seq, Methylation/Epigenomics"
946,Open-set deep learning–enabled single-cell Raman spectroscopy for rapid identification of airborne pathogens in real-world environments,other_or_unclassified,unspecified,unspecified
947,Battery lifetime prediction across diverse ageing conditions with inter-cell deep learning,foundation_scale_pretraining,unspecified,unspecified
948,Trends and Potential of Machine Learning and Deep Learning in Drug Study at Single-Cell Level,perturbation_prediction,perturbation_prediction,unspecified
949,Deep Learning–Based Clustering of OCT Images for Biomarker Discovery in Age-Related Macular Degeneration (PINNACLE Study Report 4),foundation_scale_pretraining,"cell_type_annotation, biomarker_discovery, generation",unspecified
950,Consequences of training data composition for deep learning models in single-cell biology,perturbation_prediction,"cell_type_annotation, perturbation_prediction",scRNA-seq
951,scPrediXcan integrates deep learning methods and single-cell data into a cell-type-specific transcriptome-wide association study framework,hybrid_symbolic_statistical,unspecified,scRNA-seq
952,Application of Deep Learning for Single Cell Multi-Omics: A State-of-the-Art Review,multimodal_fusion,multimodal_integration,unspecified
953,Image-based evaluation of single-cell mechanics using deep learning,hybrid_symbolic_statistical,unspecified,unspecified
954,Single-cell spatial multi-omics and deep learning dissect enhancer-driven gene regulatory networks in liver zonation,multimodal_fusion,"cell_type_annotation, spatial_reconstruction, multimodal_integration","scATAC-seq, Spatial"
955,scHiClassifier: a deep learning framework for cell type prediction by fusing multiple feature sets from single-cell Hi-C data,multimodal_fusion,"cell_type_annotation, perturbation_prediction, spatial_reconstruction",Spatial
956,Ensemble-DeepSets: an interpretable deep learning framework for single-cell resolution profiling of immunological aging,other_or_unclassified,unspecified,unspecified
957,Deep learning-driven glioblastoma diagnosis from histopathological images via single-cell segmentation and morphological analysis,spatial_omics,"cell_type_annotation, spatial_reconstruction",Spatial
958,Deep learning in single-cell and spatial transcriptomics data analysis: advances and challenges from a data science perspective,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
959,Abstract 2085: Visium HD combined with deep-learning-based cell segmentation on H&E images yield accurate cell annotation at single-cell resolution,transformer_masked_lm,"cell_type_annotation, biomarker_discovery, generation, spatial_reconstruction","scRNA-seq, Spatial"
960,Harnessing the deep learning power of foundation models in single-cell omics,foundation_scale_pretraining,unspecified,unspecified
961,Machine Learning-Driven Insights in Cancer Metabolomics: From Subtyping to Biomarker Discovery and Prognostic Modeling,multimodal_fusion,"biomarker_discovery, batch_correction, multimodal_integration",unspecified
962,CIRI‐Deep Enables Single‐Cell and Spatial Transcriptomic Analysis of Circular RNAs with Deep Learning,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
